order,round,implementation,provider,boundary,scenario,samples,failures,logical_kms_min,logical_kms_max,operation_peak,workload_peak,active_at_return,queries_min,queries_max,totalMs_p50,totalMs_p90,totalMs_p95,totalMs_p99,proofMs_p50,proofMs_p90,proofMs_p95,proofMs_p99,lockHeldClientMs_p50,lockHeldClientMs_p90,lockHeldClientMs_p95,lockHeldClientMs_p99,advisoryWaitRoundTripMs_p50,advisoryWaitRoundTripMs_p90,advisoryWaitRoundTripMs_p95,advisoryWaitRoundTripMs_p99,sqlExcludingAdvisoryMs_p50,sqlExcludingAdvisoryMs_p90,sqlExcludingAdvisoryMs_p95,sqlExcludingAdvisoryMs_p99,kmsSumMs_p50,kmsSumMs_p90,kmsSumMs_p95,kmsSumMs_p99
1,1,baseline,claude-code-oauth-token,bundle,equivalent,20,0,3,3,1,1,0,7,7,65.948,66.887,68.683,71.223,0,0,0,0,65.233,66.65,68.403,70.325,0.265,0.442,0.455,0.521,3.075,3.734,4.705,5.889,61.031,61.2,61.296,62.947
1,1,baseline,claude-code-oauth-token,bundle,first-error,20,20,1,1,1,1,0,7,7,23.479,25.511,25.964,27.024,0,0,0,0,22.991,25.104,25.203,25.933,0.218,0.367,0.425,0.582,2.034,3.976,4.582,5.227,20.375,20.43,20.435,20.49
1,1,baseline,claude-code-oauth-token,bundle,second-error,20,20,2,2,1,1,0,7,7,44.489,44.973,45.637,45.707,0,0,0,0,43.999,44.304,44.356,44.711,0.253,0.518,0.535,0.638,2.365,2.743,2.85,3.033,40.712,40.803,40.868,40.967
1,1,baseline,claude-code-oauth-token,bundle,both-errors,20,20,1,1,1,1,0,7,7,83.767,84.566,85.228,85.36,0,0,0,0,83.375,84.35,84.881,84.981,0.238,0.446,0.485,0.584,2.042,2.798,2.994,3.063,80.568,80.654,80.746,80.81
1,1,baseline,claude-code-oauth-token,bundle,slow-sibling,20,0,3,3,1,1,0,7,7,126.159,127.017,127.065,145.181,0,0,0,0,125.542,125.728,125.789,144.579,0.293,0.488,0.551,0.576,3.051,3.553,3.719,21.865,121.234,121.497,121.528,121.53
1,1,baseline,claude-code-oauth-token,bundle,abort-error,20,20,1,1,1,1,0,7,7,24.866,26.938,29.137,59.175,0,0,0,0,24.045,26.096,28.284,58.154,0.268,0.517,0.529,0.558,2.935,4.135,4.221,37.152,20.468,20.706,20.738,20.896
1,1,baseline,claude-code-oauth-token,bundle,same-provider-4,80,0,3,3,1,1,0,7,7,136.06,262.061,262.619,266.718,0,0,0,0,65.199,66.237,66.42,70.299,70.615,196.197,196.536,200.387,3.073,3.869,4.271,4.899,61.117,61.281,61.35,61.913
1,1,baseline,claude-code-oauth-token,bundle,different-providers-4,80,0,3,3,1,4,0,7,7,66.899,69.409,70.828,81.385,0,0,0,0,65.523,68.454,69.936,80.089,0.499,1.773,1.961,2.486,3.54,5.442,6.364,18.896,61.218,62.529,62.765,63.952
1,1,baseline,codex-oauth-token,prepare,equal,20,0,0,0,0,0,0,7,7,2.658,3.73,3.825,4.325,0.009,0.011,0.011,0.013,2.188,3.117,3.202,3.449,0.162,0.365,0.399,0.406,1.743,2.482,2.679,3.185,0,0,0,0
1,1,baseline,codex-oauth-token,prepare,equivalent,20,0,8,8,1,1,0,7,7,167.537,170.661,170.853,193.782,163.556,164.83,164.921,164.977,3.207,5.072,6.205,29.56,0.248,0.363,0.39,0.513,2.627,4.433,6.118,29.148,162.243,163.284,163.465,163.603
1,1,baseline,codex-oauth-token,prepare,unequal,20,0,2,2,1,1,0,7,7,44.342,46.436,47.518,47.927,41.144,41.312,41.322,41.338,3.21,3.506,4.258,5.201,0.237,0.403,0.436,1.391,2.539,3.742,3.841,5.44,40.847,40.954,40.978,41.005
1,1,baseline,codex-oauth-token,prepare,first-error,20,20,1,1,1,1,0,7,7,23.391,24.601,24.607,24.991,20.531,20.626,20.67,20.739,2.209,3.331,3.487,3.762,0.215,0.371,0.644,1.206,1.78,2.74,2.79,2.92,20.462,20.558,20.608,20.634
1,1,baseline,codex-oauth-token,prepare,second-error,20,20,2,2,1,1,0,7,7,44.416,45.484,45.722,45.861,41.025,41.239,41.239,41.247,3.157,3.521,4.114,4.119,0.232,0.501,0.514,0.565,2.507,3.005,3.126,3.415,40.827,41.003,41.006,41.009
1,1,baseline,codex-oauth-token,prepare,both-errors,20,20,1,1,1,1,0,7,7,84.053,84.978,85.179,85.45,80.82,81.031,81.047,81.27,2.214,3.207,3.367,4.352,0.238,0.445,0.539,1.004,1.97,2.654,3.023,3.291,80.733,80.921,80.932,81.177
1,1,baseline,codex-oauth-token,prepare,slow-sibling,20,0,8,8,1,1,0,7,7,228.475,230.179,233.4,233.535,224.563,225.642,225.691,229.296,3.179,4.143,4.288,4.433,0.274,0.4,0.438,0.478,2.775,3.342,3.452,7.561,223.139,224.132,224.238,226.995
1,1,baseline,codex-oauth-token,prepare,abort-error,20,20,1,1,1,1,0,7,7,23.789,24.316,24.623,24.728,20.578,20.719,20.728,20.746,2.383,3.306,3.315,3.328,0.248,0.358,0.386,0.431,2.24,2.824,3.08,3.096,20.515,20.654,20.664,20.664
1,1,baseline,codex-oauth-token,prepare,cancel-request,20,20,8,8,1,1,0,7,7,227.828,228.768,228.929,229.311,224.158,225.158,225.171,225.514,3.208,3.499,4.09,4.399,0.254,0.297,0.31,0.437,2.462,2.976,3.036,3.248,222.829,223.694,223.709,224.109
1,1,baseline,codex-oauth-token,prepare,same-provider-4,80,0,8,8,1,4,0,7,7,173.138,179.435,180.693,185.011,163.879,165.818,166.664,169.567,3.276,4.083,4.181,4.479,4.584,10.812,11.485,12.717,2.739,3.223,3.486,3.748,162.761,164.612,165.479,168.05
1,1,baseline,codex-oauth-token,prepare,different-providers-4,80,0,8,8,1,4,0,7,7,169.714,172.124,172.395,174.75,164.056,166.589,167.137,168.478,3.617,5.344,6.22,9.029,0.504,1.602,1.784,6.311,3.492,5.307,6.048,9.057,163.184,165.745,166.171,168.169
1,1,baseline,codex-oauth-token,bundle,equal,20,0,4,4,2,2,0,7,7,45.287,46.006,46.246,47.196,0,0,0,0,44.57,45.762,45.833,46.465,0.198,0.277,0.329,0.373,2.15,2.998,3.004,4.222,82.728,82.888,82.905,82.914
1,1,baseline,codex-oauth-token,bundle,equivalent,20,0,12,12,2,2,0,7,7,210.816,211.993,212.186,212.302,0,0,0,0,210.6,211.491,211.62,211.793,0.268,0.443,0.444,0.534,2.997,3.264,3.626,4.105,244.949,246.698,246.945,247.113
1,1,baseline,codex-oauth-token,bundle,unequal,20,0,20,20,2,2,0,23,23,265.823,268.806,269.757,274.387,0,0,0,0,264.606,268.305,268.424,273.382,0.241,0.449,0.49,0.565,9.574,11.928,12.203,15.886,412.705,413.925,414.215,414.879
1,1,baseline,codex-oauth-token,bundle,first-error,20,20,1,1,1,1,0,7,7,23.902,24.691,24.877,24.954,0,0,0,0,23.238,24.128,24.216,24.368,0.241,0.391,0.414,0.668,2.227,2.797,2.821,2.947,20.762,20.889,20.901,20.935
1,1,baseline,codex-oauth-token,bundle,second-error,20,20,2,2,1,1,0,7,7,44.779,45.651,45.962,46.06,0,0,0,0,44.144,45.101,45.13,45.157,0.24,0.385,0.472,0.579,2.26,2.536,2.829,3.37,41.361,41.643,41.656,41.661
1,1,baseline,codex-oauth-token,bundle,both-errors,20,20,1,1,1,1,0,7,7,83.788,85.368,85.409,85.727,0,0,0,0,83.279,84.332,84.361,85.138,0.253,0.45,0.472,0.498,2.203,2.863,2.881,3.187,81.008,81.234,81.251,81.299
1,1,baseline,codex-oauth-token,bundle,slow-sibling,20,0,12,12,2,2,0,7,7,272.398,274.856,275.312,276.753,0,0,0,0,271.738,274.523,274.572,276.946,0.264,0.401,0.455,0.591,2.944,3.518,3.581,4.73,306.804,309.501,309.631,310.426
1,1,baseline,codex-oauth-token,bundle,abort-error,20,20,1,1,1,1,0,7,7,23.853,24.673,24.815,25.577,0,0,0,0,23.158,24.128,24.204,25.079,0.238,0.41,0.418,0.431,2.005,2.493,2.563,3.1,20.78,20.954,20.984,21.422
1,1,baseline,codex-oauth-token,bundle,same-provider-4,80,0,12,12,2,2,0,7,7,430.725,849.782,850.546,860.473,0,0,0,0,212.429,214.399,214.954,216.547,215.008,636.629,639.519,646.504,3.486,4.329,4.914,8.299,246.352,249.444,250.026,251.41
1,1,baseline,codex-oauth-token,bundle,different-providers-4,80,0,12,12,2,8,0,7,7,215.782,219.184,222.849,228.618,0,0,0,0,214.896,218.011,219.161,223.342,0.506,1.19,1.807,2.397,4.869,7.148,7.457,9.724,248.697,251.962,253.01,262.14
2,1,candidate,claude-code-oauth-token,prepare,equal,20,0,0,0,0,0,0,7,7,5.389,6.702,6.762,9.726,0.012,0.021,0.039,0.046,4.182,5.28,5.333,9.058,0.368,0.683,0.818,0.946,3.297,4.163,4.469,6.968,0,0,0,0
2,1,candidate,claude-code-oauth-token,prepare,equivalent,20,0,2,2,2,2,0,7,7,24.939,26.266,26.349,26.386,20.648,20.723,20.775,20.822,3.593,4.329,4.365,5.199,0.286,0.456,0.49,0.56,3.008,4.032,4.129,4.411,40.705,40.857,40.905,40.999
2,1,candidate,claude-code-oauth-token,prepare,unequal,20,0,2,2,2,2,0,7,7,24.589,25.149,25.582,25.65,20.601,20.678,20.713,20.818,3.266,4.123,4.154,4.206,0.267,0.494,0.523,0.6,2.549,3.069,3.069,3.627,40.741,40.867,40.873,41.127
2,1,candidate,claude-code-oauth-token,prepare,first-error,20,20,2,2,2,2,0,7,7,83.985,85.003,85.155,85.311,80.797,80.941,80.989,81.116,3.055,3.438,4.168,4.175,0.247,0.285,0.297,0.337,2.344,2.927,2.934,3.026,100.743,100.976,101.009,101.246
2,1,candidate,claude-code-oauth-token,prepare,second-error,20,20,2,2,2,2,0,7,7,24.383,25.469,26.095,26.188,20.566,20.64,20.65,20.729,3.153,4.163,4.208,4.23,0.266,0.479,0.527,1.732,2.487,3.301,3.742,4.085,40.673,40.808,40.834,40.982
2,1,candidate,claude-code-oauth-token,prepare,both-errors,20,20,2,2,2,2,0,7,7,84.242,85.954,86.142,87.445,80.737,80.887,81.021,81.27,3.122,4.111,4.371,5.224,0.289,0.419,0.46,0.607,2.329,3.601,3.684,4.827,100.861,101.074,101.199,101.412
2,1,candidate,claude-code-oauth-token,prepare,slow-sibling,20,0,2,2,2,2,0,7,7,84.636,86.865,88.811,98.823,80.859,81.114,81.114,81.122,3.224,6.343,6.371,17.224,0.27,0.421,0.484,0.499,2.485,5.1,6.488,15.862,100.226,101.056,101.146,101.196
2,1,candidate,claude-code-oauth-token,prepare,abort-error,20,20,2,2,2,2,0,7,7,84.695,86.396,86.501,86.756,80.917,81.074,81.091,81.146,3.182,4.228,5.164,5.232,0.251,0.411,0.489,0.509,2.621,3.186,3.235,3.765,100.867,101.063,101.127,101.174
2,1,candidate,claude-code-oauth-token,prepare,cancel-request,20,20,2,2,2,2,0,7,7,84.924,96.502,101.709,114.747,81.098,82.182,97.679,97.986,3.244,7.76,11.927,14.883,0.248,0.678,0.829,0.99,2.654,5.798,8.063,13.083,101.083,101.649,102.093,110.117
2,1,candidate,claude-code-oauth-token,prepare,same-provider-4,80,0,2,2,2,8,0,7,7,30.585,35.718,37.692,46.163,20.499,21.071,21.189,21.296,3.165,4.251,4.771,11.471,6.007,11.041,12.555,18.255,2.806,4.233,5.831,8.835,40.594,41.717,41.865,42.078
2,1,candidate,claude-code-oauth-token,prepare,different-providers-4,80,0,2,2,2,8,0,7,7,26.041,27.928,32.144,44.832,20.328,21.065,21.257,21.295,4.187,7.174,8.711,22.926,0.554,0.988,1.162,1.846,4.031,6.441,9.843,22.549,40.306,41.805,42.132,42.463
2,1,candidate,claude-code-oauth-token,bundle,equal,20,0,1,1,1,1,0,7,7,23.815,25.201,25.339,28.091,0,0,0,0,23.189,24.507,24.556,27.321,0.239,0.44,0.447,0.518,2.366,3.359,3.476,6.257,20.33,20.424,20.43,20.452
2,1,candidate,claude-code-oauth-token,bundle,equivalent,20,0,3,3,2,2,0,7,7,45.077,45.824,45.837,46.223,0,0,0,0,44.278,45.361,45.379,45.444,0.238,0.47,0.476,0.606,2.689,3.105,3.176,3.725,61.123,61.246,61.299,61.38
2,1,candidate,claude-code-oauth-token,bundle,first-error,20,20,2,2,2,2,0,7,7,84.935,87.079,87.099,88.056,0,0,0,0,84.148,86.188,87.116,87.382,0.259,0.46,0.513,0.533,2.61,4.785,4.799,5.359,101.113,101.561,101.561,101.675
2,1,candidate,claude-code-oauth-token,bundle,second-error,20,20,2,2,2,2,0,7,7,24.135,26.3,27.252,27.282,0,0,0,0,23.26,26.109,26.959,27.296,0.245,0.381,0.403,0.405,2.374,3.086,4.022,5.226,40.859,41.094,41.682,42.953
2,1,candidate,claude-code-oauth-token,bundle,both-errors,20,20,2,2,2,2,0,7,7,83.838,84.816,86.351,86.697,0,0,0,0,83.111,84.224,84.968,86.307,0.238,0.392,0.395,0.442,2.458,3.175,4.483,4.494,100.29,101.168,101.189,101.351
2,1,candidate,claude-code-oauth-token,bundle,slow-sibling,20,0,3,3,2,2,0,7,7,104.58,105.676,105.677,106.259,0,0,0,0,103.505,104.478,104.549,105.44,0.229,0.416,0.482,0.511,2.265,3.217,3.219,3.408,120.646,121.524,121.53,121.606
2,1,candidate,claude-code-oauth-token,bundle,abort-error,20,20,2,2,2,2,0,7,7,85.042,85.858,85.977,88.328,0,0,0,0,84.113,85.174,85.338,87.196,0.257,0.344,0.422,0.465,2.623,3.421,3.532,6.8,101.204,101.392,101.529,101.554
2,1,candidate,claude-code-oauth-token,bundle,same-provider-4,80,0,3,3,2,2,0,7,7,114.582,180.107,180.787,204.896,0,0,0,0,44.734,45.514,45.654,68.96,45.824,134.709,135.02,159.122,2.987,3.742,3.771,27.621,61.303,61.485,61.507,61.722
2,1,candidate,claude-code-oauth-token,bundle,different-providers-4,80,0,3,3,2,8,0,7,7,46.394,49.779,49.993,50.175,0,0,0,0,45.472,47.71,48.632,49.454,0.484,0.996,1.674,2.467,3.793,5.768,6.168,8.081,61.59,63.141,63.288,63.572
2,1,candidate,codex-oauth-token,prepare,equal,20,0,0,0,0,0,0,7,7,3.882,7.252,8.687,9.44,0.012,0.029,0.041,0.05,3.251,5.053,6.045,7.962,0.215,0.426,0.44,0.5,2.545,3.486,5.169,6.565,0,0,0,0
2,1,candidate,codex-oauth-token,prepare,equivalent,20,0,8,8,2,2,0,7,7,86.515,87.374,87.914,88.368,82.941,83.339,83.492,83.769,3.088,3.42,3.53,4.377,0.242,0.414,0.426,0.514,2.372,2.829,3.219,3.434,163.845,164.292,164.305,165.036
2,1,candidate,codex-oauth-token,prepare,unequal,20,0,2,2,2,2,0,7,7,24.327,24.924,25.067,25.628,20.828,21.099,21.2,21.463,3.002,3.333,3.39,4.21,0.279,0.383,0.386,0.554,2.396,2.781,2.879,3.602,40.946,41.204,41.305,41.405
2,1,candidate,codex-oauth-token,prepare,first-error,20,20,2,2,2,2,0,7,7,84.589,85.837,85.929,87.057,80.512,81.407,81.419,81.539,3.064,3.384,3.486,4.159,0.271,0.46,0.492,0.553,2.585,3.012,3.094,4.036,100.735,101.678,101.683,101.726
2,1,candidate,codex-oauth-token,prepare,second-error,20,20,2,2,2,2,0,7,7,24.566,25.13,25.648,27.85,20.905,20.997,21.134,21.164,3.085,3.37,4.215,6.34,0.237,0.399,0.41,0.515,2.548,2.943,3.192,5.96,41.142,41.364,41.365,41.396
2,1,candidate,codex-oauth-token,prepare,both-errors,20,20,2,2,2,2,0,7,7,84.233,85.573,86.047,87.836,80.333,81.236,81.24,81.274,3.159,4.219,4.558,6.402,0.232,0.4,0.467,0.503,2.364,3.547,3.904,4.239,100.76,101.615,101.637,101.694
2,1,candidate,codex-oauth-token,prepare,slow-sibling,20,0,8,8,2,2,0,7,7,146.894,147.855,148.679,150.152,143.562,143.911,143.985,147.574,3.017,3.679,4.129,4.399,0.234,0.399,0.416,0.483,2.074,2.82,3.092,3.291,223.914,224.868,225.037,232.634
2,1,candidate,codex-oauth-token,prepare,abort-error,20,20,2,2,2,2,0,7,7,84.512,85.854,86.085,86.085,81.254,81.488,81.536,81.617,3.077,3.382,3.398,3.441,0.237,0.431,0.481,0.574,2.4,3.136,3.137,3.147,100.683,101.541,101.573,101.874
2,1,candidate,codex-oauth-token,prepare,cancel-request,20,20,8,8,2,2,0,7,7,147.008,148.301,148.423,148.577,143.45,144.261,144.328,144.437,3.042,3.626,4.011,4.075,0.263,0.451,0.545,0.62,2.611,3.014,3.14,3.164,224.3,225.32,225.558,225.76
2,1,candidate,codex-oauth-token,prepare,same-provider-4,80,0,8,8,2,8,0,7,7,92.781,98.726,100.176,103.52,83.154,84.207,84.297,84.784,3.438,4.163,4.5,9.113,6.339,12.136,12.524,15.224,2.987,3.554,3.802,8.478,163.901,166.032,166.226,166.873
2,1,candidate,codex-oauth-token,prepare,different-providers-4,80,0,8,8,2,8,0,7,7,88.739,91.411,93.542,95.432,83.429,84.552,84.983,86.001,4.042,5.694,6.187,9.975,0.478,1.526,2.147,6.661,4.038,5.438,5.521,9.506,165.185,167.742,168.415,171.073
2,1,candidate,codex-oauth-token,bundle,equal,20,0,4,4,2,2,0,7,7,45.887,47.351,47.552,48.806,0,0,0,0,45.492,46.495,47.247,48.395,0.271,0.394,0.453,0.462,2.609,3.33,3.422,6.141,82.63,83.438,83.449,84.027
2,1,candidate,codex-oauth-token,bundle,equivalent,20,0,12,12,2,2,0,7,7,130.326,132.616,133.285,146.577,0,0,0,0,129.632,132.208,132.228,142.325,0.281,0.391,0.447,1.421,2.969,3.631,6.487,13.263,247.28,249.27,252.104,252.448
2,1,candidate,codex-oauth-token,bundle,unequal,20,0,20,20,2,2,0,23,23,225.238,229.228,229.24,229.867,0,0,0,0,225.161,228.437,228.951,229.227,0.283,0.415,0.426,0.469,10.229,11.297,13.278,14.572,412.929,413.897,414.011,414.903
2,1,candidate,codex-oauth-token,bundle,first-error,20,20,2,2,2,2,0,7,7,84.707,85.951,86.161,86.525,0,0,0,0,84.157,85.064,85.141,85.27,0.212,0.415,0.447,0.457,2.216,2.856,2.867,3.415,101.236,101.478,101.49,101.745
2,1,candidate,codex-oauth-token,bundle,second-error,20,20,2,2,2,2,0,7,7,24.152,25.142,25.615,25.897,0,0,0,0,24.006,24.217,24.311,25.093,0.177,0.39,0.394,1.621,2.055,2.556,2.631,2.809,41.082,41.962,42.009,42.436
2,1,candidate,codex-oauth-token,bundle,both-errors,20,20,2,2,2,2,0,7,7,84.674,85.348,85.356,85.579,0,0,0,0,84.146,84.477,85.038,85.168,0.255,0.395,0.423,0.471,2.546,2.831,3.084,3.343,101.553,101.753,101.896,101.98
2,1,candidate,codex-oauth-token,bundle,slow-sibling,20,0,12,12,2,2,0,7,7,191.787,193.238,198.205,217.338,0,0,0,0,190.797,192.565,197.626,216.461,0.245,0.377,0.434,0.443,2.971,3.834,9.292,29.532,307.853,309.305,309.498,309.689
2,1,candidate,codex-oauth-token,bundle,abort-error,20,20,2,2,2,2,0,7,7,84.984,86.126,87.566,88.45,0,0,0,0,84.103,85.147,85.238,86.016,0.298,0.427,0.436,0.564,2.453,3.17,3.656,4.675,101.092,101.709,101.799,101.857
2,1,candidate,codex-oauth-token,bundle,same-provider-4,80,0,12,12,2,2,0,7,7,265.383,526.444,527.571,530.425,0,0,0,0,131.267,132.811,133.128,133.886,132.975,394.104,394.997,398.776,3.188,4.19,5.843,6.977,247.173,249.564,250.138,251.556
2,1,candidate,codex-oauth-token,bundle,different-providers-4,80,0,12,12,2,8,0,7,7,134.731,139.182,139.932,140.964,0,0,0,0,133.513,137.684,138.279,140.131,0.51,1.442,1.732,2.686,5.054,7.944,8.232,9.668,249.731,254.633,255.115,256.43
3,2,candidate,claude-code-oauth-token,prepare,equal,20,0,0,0,0,0,0,7,7,5.488,6.83,7.222,8.602,0.012,0.023,0.038,0.081,4.234,5.468,6.045,7.399,0.388,0.724,0.797,0.998,3.352,3.988,4.693,6.573,0,0,0,0
3,2,candidate,claude-code-oauth-token,prepare,equivalent,20,0,2,2,2,2,0,7,7,25.092,26.151,26.544,27.237,20.636,20.691,20.766,21.19,3.244,4.414,5.018,6.212,0.298,0.465,0.497,0.604,2.991,3.589,3.947,5.025,40.749,40.874,40.91,40.93
3,2,candidate,claude-code-oauth-token,prepare,unequal,20,0,2,2,2,2,0,7,7,24.321,25.008,25.162,25.237,20.559,20.683,20.733,20.759,3.055,3.58,3.892,4.238,0.257,0.494,0.537,0.565,2.414,3.007,3.021,3.041,40.665,40.856,40.981,40.982
3,2,candidate,claude-code-oauth-token,prepare,first-error,20,20,2,2,2,2,0,7,7,84.14,85.091,85.764,85.772,79.986,80.974,81.093,81.163,3.146,4.079,4.218,4.57,0.248,0.305,0.319,0.515,2.457,2.859,3.346,3.35,100.081,101.117,101.231,101.289
3,2,candidate,claude-code-oauth-token,prepare,second-error,20,20,2,2,2,2,0,7,7,23.559,26.244,26.553,27.281,20.543,20.653,20.663,20.68,2.694,5.278,5.547,6.223,0.2,0.34,0.346,0.386,1.965,4.375,4.416,5.556,40.681,40.861,40.886,40.898
3,2,candidate,claude-code-oauth-token,prepare,both-errors,20,20,2,2,2,2,0,7,7,83.933,85.095,85.434,85.442,80.626,80.86,80.86,80.891,3.024,4.072,4.162,4.24,0.267,0.454,0.567,1.015,2.275,3.077,3.161,3.445,100.726,101.047,101.066,101.114
3,2,candidate,claude-code-oauth-token,prepare,slow-sibling,20,0,2,2,2,2,0,7,7,84.224,85.009,85.276,88.968,80.353,81.021,81.027,81.07,3.201,4.24,4.304,7.298,0.255,0.434,0.457,0.516,2.446,3.155,3.274,6.53,100.29,101.031,101.092,101.164
3,2,candidate,claude-code-oauth-token,prepare,abort-error,20,20,2,2,2,2,0,7,7,84.092,85.405,87.214,88.711,80.079,81.063,81.238,81.601,3.025,4.131,4.479,6.131,0.277,0.451,0.552,2.306,2.453,3.13,3.847,4.156,100.167,100.999,101.153,101.283
3,2,candidate,claude-code-oauth-token,prepare,cancel-request,20,20,2,2,2,2,0,7,7,84.482,85.694,86.346,86.916,80.232,81.181,81.248,81.269,3.189,3.892,4.361,4.825,0.257,0.473,0.492,0.532,2.511,3.449,3.625,3.781,100.29,101.257,101.316,101.407
3,2,candidate,claude-code-oauth-token,prepare,same-provider-4,80,0,2,2,2,8,0,7,7,30.928,35.425,37.259,40.87,20.631,21.132,21.254,21.407,3.354,4.415,4.871,7.585,5.285,10.859,12.511,15.125,2.844,3.617,5.091,7.893,40.713,41.7,41.923,42.15
3,2,candidate,claude-code-oauth-token,prepare,different-providers-4,80,0,2,2,2,8,0,7,7,25.393,28.356,31.219,45.653,20.368,20.997,21.097,21.336,3.728,6.506,8.938,22.212,0.542,1.637,1.912,2.175,3.534,5.904,7.635,22.507,40.404,41.75,41.878,42.396
3,2,candidate,claude-code-oauth-token,bundle,equal,20,0,1,1,1,1,0,7,7,24.01,25.021,25.051,25.574,0,0,0,0,23.468,24.412,24.442,24.492,0.23,0.462,0.474,0.477,2.679,3.132,3.227,3.432,20.361,20.396,20.401,20.419
3,2,candidate,claude-code-oauth-token,bundle,equivalent,20,0,3,3,2,2,0,7,7,44.3,44.852,45.031,45.295,0,0,0,0,43.685,44.448,44.461,44.651,0.202,0.319,0.37,0.39,2.165,2.605,2.617,3.13,61.077,61.222,61.242,61.275
3,2,candidate,claude-code-oauth-token,bundle,first-error,20,20,2,2,2,2,0,7,7,84.294,85.267,86.271,86.318,0,0,0,0,84.116,85.276,86.281,86.425,0.228,0.405,0.41,0.414,2.292,3.093,4.227,4.233,100.917,101.217,101.383,101.431
